Customer_ID,Customer_Age,Customer_Gender,Customer_City
CUST4934,23,Female,West Matthew
CUST4478,60,Female,Jackfurt
CUST9950,28,Other,Williamsshire
CUST8449,65,Male,Autumnstad
CUST4388,68,Male,Georgeburgh
CUST1281,53,Other,Lake Jamesburgh
CUST1739,53,Female,Jessicaport
CUST7329,29,Female,Lake Natasha
CUST1637,66,Female,North Cynthia
CUST4848,70,Male,Woodland
CUST3616,67,Male,East Patrick
CUST9284,44,Female,Port Robertview
CUST8272,33,Other,Lake Annaburgh
CUST6876,25,Male,Allenhaven
CUST8554,19,Male,Lake Jessicatown
CUST4722,64,Female,New Jacob
CUST8668,54,Male,West Kristenshire
CUST8563,43,Other,South William
CUST7021,66,Male,Littletown
CUST8137,52,Female,North Doris
CUST5862,47,Female,Port Alexanderfort
CUST2685,29,Other,Riveramouth
CUST1354,41,Male,East James
CUST6046,37,Male,New Jessica
CUST7061,20,Other,Nicoleburgh
CUST3259,46,Male,Lorimouth
CUST1515,49,Other,Susanside
CUST8844,67,Other,Diazberg
CUST3070,65,Female,South Shawnville
CUST6529,34,Other,Port Kennethberg
CUST5464,52,Male,North Peterside
CUST1101,51,Male,Lake Tylerland
CUST4162,64,Male,New Nicole
CUST9114,66,Other,New Diamond
CUST7312,22,Other,Tiffanyborough
CUST5295,44,Male,Benjaminhaven
CUST5897,50,Other,Powellshire
CUST2304,27,Female,South Jonathanfort
CUST4167,18,Female,Mariaberg
CUST4877,35,Female,North Patrick
CUST1382,31,Male,Jamesview
CUST9397,28,Male,West Beverlyfort
CUST5168,51,Female,Davidmouth
CUST6232,23,Male,Edwardstad
CUST6914,26,Male,North Jessicaborough
CUST3552,47,Female,Port Jenniferside
CUST3214,49,Male,West Regina
CUST7135,31,Other,Lawrencehaven
CUST6304,25,Other,East Kevinborough
CUST5757,66,Other,East Sarah
CUST5188,47,Other,East Danielville
CUST3052,66,Other,South Michelle
CUST3770,47,Other,Robertbury
CUST9347,36,Female,Lake Sarah
CUST6588,61,Other,Karinachester
CUST2164,70,Female,Port Thomas
CUST5247,69,Male,South Shannon
CUST2493,28,Female,Patelburgh
CUST4851,61,Other,Bentonmouth
CUST7423,48,Male,North Richard
CUST4320,52,Female,West Kimberlyhaven
CUST3423,56,Male,Haleside
CUST6752,59,Female,Port Jake
CUST6165,67,Male,Port Carriehaven
CUST9649,34,Female,East Adamport
CUST8064,30,Male,Clarkmouth
CUST2778,48,Other,Williamsfurt
CUST4853,52,Female,New Kristinberg
CUST4458,61,Male,New Gregory
CUST4109,53,Male,Lisahaven
CUST4498,48,Other,Evelynhaven
CUST1176,28,Female,Lake Cherylshire
CUST6698,35,Female,Lake Gregory
CUST8005,26,Other,East Jacob
CUST2630,47,Other,Odomberg
CUST4723,40,Other,Christopherport
CUST2767,50,Female,South Mariaburgh
CUST2276,68,Other,Erintown
CUST3029,23,Other,Annaton
CUST4999,35,Female,Davisland
CUST9071,19,Female,West Ericbury
CUST3288,62,Male,Dennisport
CUST4385,42,Other,Lake John
CUST7888,38,Male,Masonton
CUST8690,21,Other,West Allenchester
CUST1886,64,Other,Smithhaven
CUST9382,39,Other,Stevenland
CUST3955,52,Female,Josestad
CUST3043,18,Other,New Amy
CUST4461,70,Other,Campbellmouth
CUST7069,64,Male,Olsonville
CUST3882,54,Other,North Maryville
CUST3487,58,Other,Williamsbury
CUST2251,41,Other,West Kristenchester
CUST2920,31,Male,South Bryan
CUST2254,24,Male,Port Angela
CUST2701,45,Other,West Charles
CUST9463,37,Female,Pattersonfurt
CUST1490,46,Female,Jeffreystad
CUST9999,21,Other,East Christina
CUST4539,41,Other,Lake Brianshire
CUST1800,57,Other,Port Brianstad
CUST9312,58,Other,East Aliciashire
CUST8898,34,Female,Simsland
CUST4494,53,Male,Hatfieldchester
CUST4587,68,Male,Jasminfurt
CUST1765,47,Male,Lake Stephen
CUST2035,39,Other,Lake Christopherborough
CUST4084,30,Other,Lake Michaelshire
CUST9458,62,Other,West Terriport
CUST2350,35,Female,Johnsonton
CUST7926,20,Female,Baxterhaven
CUST1344,48,Male,Christineview
CUST3649,59,Other,Port Franciscoton
CUST1292,58,Female,Lake Carlosbury
