Product_ID,Product_Name,Product_Category,Brand,Supplier_ID
PRD7088,Seat,Personal Care,BrandD,SUP233
PRD8404,Cover,Household,BrandB,SUP222
PRD5958,Rule,Personal Care,BrandC,SUP203
PRD4541,Pick,Grocery,BrandD,SUP298
PRD9603,Performance,Grocery,BrandD,SUP212
PRD5953,Run,Bakery,BrandC,SUP214
PRD3867,Focus,Beverages,BrandB,SUP260
PRD2838,When,Household,BrandA,SUP285
PRD7131,About,Grocery,BrandD,SUP226
PRD1612,Truth,Dairy,BrandA,SUP269
PRD4311,Draw,Grocery,BrandB,SUP276
PRD2517,Away,Beverages,BrandA,SUP277
PRD8270,Head,Household,BrandC,SUP216
PRD9290,Wind,Dairy,BrandB,SUP211
PRD1408,Word,Beverages,BrandD,SUP235
PRD8907,Big,Bakery,BrandB,SUP253
PRD9192,Turn,Beverages,BrandA,SUP215
PRD3524,Record,Dairy,BrandA,SUP211
PRD4116,Admit,Bakery,BrandD,SUP274
PRD6572,Third,Grocery,BrandA,SUP215
PRD8921,Executive,Beverages,BrandB,SUP273
PRD9579,Data,Beverages,BrandA,SUP265
PRD6084,Number,Personal Care,BrandB,SUP225
PRD6363,Main,Beverages,BrandC,SUP273
PRD3347,Choose,Personal Care,BrandA,SUP214
PRD2609,Evidence,Household,BrandB,SUP227
PRD9456,Site,Dairy,BrandB,SUP237
PRD3174,Recognize,Bakery,BrandD,SUP221
PRD4361,Street,Household,BrandD,SUP284
PRD1598,Evening,Personal Care,BrandD,SUP229
PRD8526,Coach,Household,BrandD,SUP215
PRD7350,Skin,Household,BrandD,SUP241
PRD9558,Road,Dairy,BrandA,SUP227
PRD2897,Maintain,Beverages,BrandD,SUP204
PRD1067,Drug,Household,BrandB,SUP254
PRD6095,Though,Household,BrandA,SUP212
PRD1721,Cold,Dairy,BrandB,SUP200
PRD2426,Beautiful,Bakery,BrandD,SUP267
PRD6460,Box,Household,BrandD,SUP234
PRD8649,Yeah,Grocery,BrandD,SUP280
PRD1755,Green,Bakery,BrandB,SUP295
PRD2689,Think,Bakery,BrandA,SUP225
PRD9529,That,Bakery,BrandB,SUP299
PRD6119,Administration,Dairy,BrandB,SUP220
PRD1368,Surface,Beverages,BrandD,SUP231
PRD6114,Bill,Bakery,BrandD,SUP295
PRD4438,Upon,Dairy,BrandA,SUP284
PRD6257,Another,Personal Care,BrandD,SUP214
PRD4285,Wear,Grocery,BrandC,SUP285
PRD4154,Too,Household,BrandD,SUP220
PRD5695,Big,Household,BrandD,SUP206
PRD5532,Week,Bakery,BrandC,SUP210
PRD9720,Relationship,Grocery,BrandB,SUP238
PRD6228,Choose,Household,BrandB,SUP267
PRD8227,Box,Bakery,BrandC,SUP259
PRD2927,Voice,Beverages,BrandB,SUP298
PRD5467,Usually,Household,BrandA,SUP229
PRD3446,Radio,Household,BrandA,SUP244
PRD3580,Since,Beverages,BrandD,SUP237
PRD5483,Check,Grocery,BrandC,SUP236
PRD2875,Region,Household,BrandC,SUP249
PRD1249,Write,Grocery,BrandB,SUP218
PRD9422,Group,Grocery,BrandA,SUP247
PRD2677,Yeah,Beverages,BrandC,SUP278
PRD4384,Allow,Bakery,BrandB,SUP257
PRD9888,Bring,Grocery,BrandB,SUP285
PRD6739,Sea,Beverages,BrandA,SUP235
PRD6218,Remain,Personal Care,BrandB,SUP202
PRD5440,No,Dairy,BrandA,SUP215
PRD3319,Official,Beverages,BrandB,SUP288
PRD5641,Deep,Household,BrandA,SUP240
PRD5011,Perhaps,Dairy,BrandA,SUP213
PRD3806,Feeling,Household,BrandC,SUP262
PRD2167,Resource,Household,BrandA,SUP281
PRD6101,Travel,Household,BrandC,SUP215
PRD6549,Hand,Bakery,BrandD,SUP237
PRD9856,Lead,Dairy,BrandD,SUP289
PRD8268,Sometimes,Personal Care,BrandC,SUP227
PRD1831,Rise,Dairy,BrandC,SUP245
PRD3131,Politics,Dairy,BrandD,SUP250
PRD1475,Bank,Personal Care,BrandC,SUP219
PRD8712,Material,Dairy,BrandD,SUP264
PRD1826,Tough,Grocery,BrandA,SUP220
PRD2735,Year,Grocery,BrandA,SUP244
PRD7284,Eat,Bakery,BrandA,SUP208
PRD1881,Particular,Beverages,BrandB,SUP246
PRD2410,Agent,Grocery,BrandD,SUP235
PRD7987,Enjoy,Personal Care,BrandD,SUP202
PRD7421,Either,Bakery,BrandD,SUP271
PRD3932,Interview,Beverages,BrandC,SUP230
PRD8304,Investment,Beverages,BrandC,SUP243
PRD6826,Series,Personal Care,BrandD,SUP255
PRD6119,Administration,Dairy,BrandB,SUP227
PRD6444,Though,Bakery,BrandD,SUP205
PRD4246,Center,Bakery,BrandC,SUP295
PRD9740,Will,Grocery,BrandD,SUP215
PRD2286,Green,Grocery,BrandD,SUP236
PRD8629,Wait,Beverages,BrandC,SUP280
PRD3159,Ball,Grocery,BrandA,SUP281
PRD2522,Herself,Bakery,BrandD,SUP244
PRD8672,Rest,Beverages,BrandB,SUP213
PRD2593,Thank,Grocery,BrandD,SUP251
PRD8464,Every,Household,BrandC,SUP233
PRD6085,Modern,Grocery,BrandD,SUP278
PRD8625,Evidence,Beverages,BrandA,SUP268
PRD8709,Hold,Bakery,BrandC,SUP285
PRD4796,Exactly,Personal Care,BrandC,SUP262
PRD4666,East,Dairy,BrandA,SUP253
PRD3354,Prevent,Bakery,BrandA,SUP258
PRD5227,Particular,Household,BrandD,SUP234
PRD6954,Only,Beverages,BrandB,SUP255
PRD7423,Which,Bakery,BrandC,SUP265
PRD4004,Up,Personal Care,BrandC,SUP235
PRD6412,Do,Grocery,BrandB,SUP258
PRD6320,Poor,Household,BrandD,SUP283
PRD8426,Watch,Personal Care,BrandB,SUP276
PRD8987,Attack,Beverages,BrandA,SUP278
PRD1495,Can,Beverages,BrandD,SUP206
PRD2070,Up,Household,BrandC,SUP251
PRD8787,Tv,Dairy,BrandD,SUP298
PRD2849,Will,Grocery,BrandB,SUP216
PRD6758,Institution,Personal Care,BrandD,SUP247
PRD8842,See,Grocery,BrandD,SUP291
PRD8556,Growth,Beverages,BrandA,SUP299
PRD3798,Where,Dairy,BrandA,SUP209
PRD5624,Wide,Dairy,BrandC,SUP237
PRD6711,Near,Beverages,BrandB,SUP246
PRD3087,Major,Dairy,BrandD,SUP276
PRD9322,Step,Bakery,BrandB,SUP227
PRD2686,Season,Beverages,BrandC,SUP294
PRD7646,Pull,Household,BrandB,SUP203
