Transaction_ID,Date,Date_Key,Store_ID,Product_ID,Quantity_Sold,Price_per_Unit,Total_Sale_Value,Discount_Percentage,Final_Sale_Value,Payment_Mode,Cashier_ID,Customer_ID
DMT100000,2025-06-12,1,STR41,PRD7088,9,52.51,472.59,15,401.7,UPI,EMP805,CUST4934
DMT100001,2024-12-22,2,STR8,PRD8404,1,156.88,156.88,20,125.5,Card,EMP416,CUST4478
DMT100002,2025-03-28,3,STR2,PRD5958,8,391.47,3131.76,20,2505.41,Cash,EMP164,CUST9950
DMT100003,2024-03-13,4,STR48,PRD4541,20,172.83,3456.6,10,3110.94,Wallet,EMP148,CUST8449
DMT100004,2024-09-29,5,STR18,PRD9603,12,337.73,4052.76,15,3444.85,Card,EMP839,CUST4388
DMT100005,2024-02-09,6,STR16,PRD5953,3,217.57,652.71,15,554.8,UPI,EMP129,CUST1281
DMT100006,2025-01-30,7,STR15,PRD3867,17,141.42,2404.14,20,1923.31,UPI,EMP639,CUST1739
DMT100007,2024-09-20,8,STR9,PRD2838,14,273.04,3822.56,20,3058.05,Wallet,EMP844,CUST7329
DMT100008,2024-04-07,9,STR48,PRD7131,20,262.41,5248.2,20,4198.56,Card,EMP253,CUST1637
DMT100009,2023-12-03,10,STR7,PRD1612,11,338.12,3719.32,20,2975.46,Cash,EMP452,CUST4848
DMT100010,2024-02-12,11,STR44,PRD4311,14,126.05,1764.7,5,1676.47,Wallet,EMP706,CUST3616
DMT100011,2023-08-22,12,STR48,PRD2517,3,391.41,1174.23,10,1056.81,Cash,EMP750,CUST9284
DMT100012,2023-08-28,13,STR35,PRD8270,8,171.49,1371.92,5,1303.32,Card,EMP283,CUST8272
DMT100013,2023-09-24,14,STR6,PRD9290,10,287.33,2873.3,15,2442.3,Cash,EMP316,CUST6876
DMT100014,2024-08-22,15,STR38,PRD1408,9,139.7,1257.3,10,1131.57,Card,EMP148,CUST8554
DMT100015,2024-03-29,16,STR28,PRD8907,2,225.25,450.5,20,360.4,UPI,EMP496,CUST4722
DMT100016,2025-05-07,17,STR3,PRD9192,18,178.5,3213.0,15,2731.05,Wallet,EMP452,CUST8668
DMT100017,2023-09-06,18,STR2,PRD3524,18,391.17,7041.06,20,5632.85,Wallet,EMP199,CUST8563
DMT100018,2025-07-05,19,STR6,PRD4116,8,293.26,2346.08,15,1994.17,Cash,EMP218,CUST7021
DMT100019,2025-07-09,20,STR14,PRD6572,8,23.17,185.36,20,148.29,Cash,EMP590,CUST8137
DMT100020,2024-04-25,21,STR15,PRD8921,4,14.28,57.12,15,48.55,Card,EMP523,CUST5862
DMT100021,2025-02-25,22,STR33,PRD9579,18,166.44,2995.92,5,2846.12,UPI,EMP670,CUST2685
DMT100022,2024-07-30,23,STR39,PRD6084,8,364.02,2912.16,15,2475.34,Cash,EMP264,CUST1354
DMT100023,2024-10-25,24,STR2,PRD6363,18,135.35,2436.3,10,2192.67,Card,EMP965,CUST6046
DMT100024,2024-10-01,25,STR36,PRD3347,1,397.93,397.93,20,318.34,Wallet,EMP959,CUST7061
DMT100025,2025-04-12,26,STR13,PRD2609,4,109.07,436.28,5,414.47,Card,EMP432,CUST3259
DMT100026,2025-06-18,27,STR46,PRD9456,13,418.5,5440.5,5,5168.48,UPI,EMP221,CUST1515
DMT100027,2024-08-17,28,STR42,PRD3174,19,115.21,2188.99,0,2188.99,UPI,EMP427,CUST8844
DMT100028,2024-11-18,29,STR45,PRD4361,7,384.09,2688.63,0,2688.63,UPI,EMP255,CUST3070
DMT100029,2024-10-28,30,STR35,PRD1598,9,270.84,2437.56,20,1950.05,Card,EMP913,CUST6529
DMT100030,2025-01-19,31,STR27,PRD8526,16,330.34,5285.44,15,4492.62,Cash,EMP951,CUST5464
DMT100031,2023-11-04,32,STR15,PRD7350,14,55.42,775.88,0,775.88,Wallet,EMP617,CUST1101
DMT100032,2025-03-26,33,STR29,PRD9558,19,430.61,8181.59,10,7363.43,Wallet,EMP626,CUST4162
DMT100033,2025-02-03,34,STR38,PRD2897,3,401.35,1204.05,10,1083.65,Cash,EMP126,CUST9114
DMT100034,2024-10-26,35,STR18,PRD1067,5,91.49,457.45,15,388.83,UPI,EMP143,CUST7312
DMT100035,2023-08-26,36,STR1,PRD6095,7,74.73,523.11,10,470.8,Card,EMP417,CUST5295
DMT100036,2025-07-11,37,STR49,PRD1721,16,6.32,101.12,20,80.9,Card,EMP723,CUST5897
DMT100037,2023-10-28,38,STR11,PRD2426,16,293.22,4691.52,10,4222.37,Cash,EMP526,CUST2304
DMT100038,2024-10-25,24,STR45,PRD6460,20,385.0,7700.0,0,7700.0,Cash,EMP125,CUST4167
DMT100039,2024-04-15,39,STR28,PRD8649,8,430.0,3440.0,0,3440.0,Wallet,EMP943,CUST4877
DMT100040,2025-05-27,40,STR22,PRD1755,20,31.62,632.4,5,600.78,Wallet,EMP473,CUST1382
