Transaction_ID,Date,Date_Key,Store_ID,Product_ID,Quantity_Sold,Price_per_Unit,Total_Sale_Value,Discount_Percentage,Final_Sale_Value,Payment_Mode,Cashier_ID,Customer_ID,Day_of_Week,Is_Weekend,Supplier_ID,Product_Category,Product_Name,Brand,Customer_Age,Customer_Gender,Customer_City,Store_City,Store_Size_sqft,Store_Rating,Staff_Count,Inventory_Level
DMT100000,2025-06-12,1,STR41,PRD7088,9,52.51,472.59,15,401.7,UPI,EMP805,CUST4934,Thursday,False,SUP233,Personal Care,Seat,BrandD,23,Female,West Matthew,Acostaberg,1915,3.9,13,837
DMT100001,2024-12-22,2,STR8,PRD8404,1,156.88,156.88,20,125.5,Card,EMP416,CUST4478,Sunday,True,SUP222,Household,Cover,BrandB,60,Female,Jackfurt,Shaneview,2310,4.0,49,117
DMT100002,2025-03-28,3,STR2,PRD5958,8,391.47,3131.76,20,2505.41,Cash,EMP164,CUST9950,Friday,False,SUP203,Personal Care,Rule,BrandC,28,Other,Williamsshire,Stephensfurt,4212,4.4,39,103
DMT100003,2024-03-13,4,STR48,PRD4541,20,172.83,3456.6,10,3110.94,Wallet,EMP148,CUST8449,Wednesday,False,SUP298,Grocery,Pick,BrandD,65,Male,Autumnstad,Morrismouth,4904,3.5,19,263
DMT100004,2024-09-29,5,STR18,PRD9603,12,337.73,4052.76,15,3444.85,Card,EMP839,CUST4388,Sunday,True,SUP212,Grocery,Performance,BrandD,68,Male,Georgeburgh,Deniseland,3334,4.0,27,564
DMT100005,2024-02-09,6,STR16,PRD5953,3,217.57,652.71,15,554.8,UPI,EMP129,CUST1281,Friday,False,SUP214,Bakery,Run,BrandC,53,Other,Lake Jamesburgh,Port Misty,2652,4.5,33,171
DMT100006,2025-01-30,7,STR15,PRD3867,17,141.42,2404.14,20,1923.31,UPI,EMP639,CUST1739,Thursday,False,SUP260,Beverages,Focus,BrandB,53,Female,Jessicaport,Douglashaven,4091,4.3,48,935
DMT100007,2024-09-20,8,STR9,PRD2838,14,273.04,3822.56,20,3058.05,Wallet,EMP844,CUST7329,Friday,False,SUP285,Household,When,BrandA,29,Female,Lake Natasha,Lake Alexandra,3728,3.4,33,341
DMT100008,2024-04-07,9,STR48,PRD7131,20,262.41,5248.2,20,4198.56,Card,EMP253,CUST1637,Sunday,True,SUP226,Grocery,About,BrandD,66,Female,North Cynthia,Morrismouth,4904,3.5,19,263
DMT100009,2023-12-03,10,STR7,PRD1612,11,338.12,3719.32,20,2975.46,Cash,EMP452,CUST4848,Sunday,True,SUP269,Dairy,Truth,BrandA,70,Male,Woodland,North Jeffreyshire,3335,4.2,19,870
